com.samsung.health.food_intake,6201005,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.816,2021-11-04 07:05:36.816,100002,"커피,설탕,프림",120001,43.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,24acca64-c4b4-4060-b336-ba137592e3ea,a30a0c63-ef1a-4dcc-9325-b467d52d94af,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.817,2021-11-04 07:05:36.817,100002,돼지수육  총각김치 된장국  양배추,120001,950.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,e28d876f-d83f-477d-893e-b9afaf4557a0,805d2403-6301-48f3-8622-8421e61f2e9a,
2021-10-28 01:58:24.299,1.0,,2021-10-28 02:00:31.438,2021-10-28 02:00:31.438,100002,잡곡밥 도토리묵체국 돼지갈비찜  총각김치,120001,1250.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,0508bf83-def8-41dc-ab17-2abdd7ef68a1,c9f48af1-c65f-4e9f-aedb-76a27f00674f,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.818,2021-11-04 07:05:36.818,100002,쌀밥,120001,317.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,0cd73a3d-7c0b-4dbf-b6c7-68ed1cecd829,d862f28b-bcb7-4c4f-9714-8c7868d31878,
2021-11-03 23:26:15.803,0.0,,2021-11-03 23:26:43.670,2021-11-03 23:26:43.670,100001,,-1,0.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,a93fe850-c7e1-4db5-8c88-c701e362643c,meal_removed,
2021-11-02 11:41:42.189,1.0,,2021-11-02 11:43:15.672,2021-11-02 11:43:15.672,100006,고구마 계란  약콩두유,120001,200.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,a410b1ad-8c41-46af-aae0-2584e0fcd17e,76cb02c8-ca00-47c3-8d5f-9fb7c9de2a1f,
2021-11-04 03:00:00.000,3.0,,2021-11-04 07:05:36.817,2021-11-04 07:05:36.817,100002,잡곡밥,120001,1059.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,87626871-a714-4b64-93ec-c1969a26b7f6,7e6f20e1-d838-453d-a601-82bc0d617ba1,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.817,2021-11-04 07:05:36.817,100002,콩국수 김치,120001,700.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,656370c2-b294-40bd-aa27-34d125896502,ae6b48c3-76d9-48c0-9ee0-2ff4449c7d01,
2021-11-04 03:00:00.000,200.0,,2021-11-04 07:05:36.818,2021-11-04 07:05:36.818,100002,목살구이,120001,530.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,cbdd0d6d-64b3-41b3-825c-d1241bfca662,663cfed9-c3b9-4ff8-950c-1d49af48182f,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.818,2021-11-04 07:05:36.818,100002,기장밥참치순두국  닭볶음  기지나물 총각김치,120001,850.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,05f64ddb-715b-4da1-8dc2-2e2c54709897,bf1962e0-d6c5-4a89-9e97-b83c4f575b32,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.819,2021-11-04 07:05:36.819,100002,안양식불고기비빕밥 얼간이된장국 계란후라이  열무김치,120001,700.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,bcdd0601-3f4f-4d48-9d25-bf40ab8605de,d185fd3b-a505-4412-bae3-0a337956f3ad,
2021-11-04 03:00:00.000,1.0,,2021-11-04 07:05:36.819,2021-11-04 07:05:36.819,100002,"커피,원두,블랙",120001,3.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,f4d88a83-a875-4b2c-9b1f-bee79999ad0b,f7df4b86-79b8-4fbc-ab90-6706ef1d227a,
